Implementation,64,128,256,512,1024,2048
Basic dgemm,0.000152,0.002461,0.029934,0.930788,7.537535,151.189537
Blocked dgemm; b=16,0.000113,0.000903,0.007162,0.056816,0.460770,3.837682
Blocked dgemm; b=2,0.000745,0.005775,0.045542,0.369571,2.922142,23.306395
Blocked dgemm; b=32,0.000118,0.000957,0.007576,0.060407,0.484608,3.937366
Blocked dgemm; b=64,0.000151,0.001279,0.009895,0.078715,0.613650,4.936743
Reference dgemm,0.000012,0.000143,0.000863,0.005359,0.041984,0.332472
